file,target,C,max_iter,tol,class_weight,n_samples_used,n_rows_dropped,n_features,n_classes,train_acc,test_acc,classes,fit_sec,note
qp_modality_sae_layer14.parquet,modal_verb,1.0,1000,0.001,none,4840,0,32767,10,0.9989669421487604,0.9979338842975206,can|could|may|might|must|ought to|shall|should|will|would,24.48230242729187,
qp_modality_sae_layer14.parquet,modal_verb,1.0,1000,0.001,balanced,4840,0,32767,10,0.9989669421487604,0.9979338842975206,can|could|may|might|must|ought to|shall|should|will|would,24.61531376838684,
qp_modality_sae_layer14.parquet,modal_verb,1.0,2000,0.0001,none,4840,0,32767,10,0.99974173553719,0.9989669421487604,can|could|may|might|must|ought to|shall|should|will|would,147.8043806552887,
qp_modality_sae_layer14.parquet,modal_verb,1.0,2000,0.0001,balanced,4840,0,32767,10,0.99974173553719,0.9989669421487604,can|could|may|might|must|ought to|shall|should|will|would,148.00859236717224,
qp_modality_sae_layer14.parquet,palmer_expected,1.0,1000,0.001,none,484,4356,32767,3,0.958656330749354,0.8762886597938144,deontic|dynamic|epistemic,1.6699788570404053,
qp_modality_sae_layer14.parquet,palmer_expected,1.0,1000,0.001,balanced,484,4356,32767,3,0.9483204134366925,0.865979381443299,deontic|dynamic|epistemic,1.7111363410949707,
qp_modality_sae_layer14.parquet,palmer_expected,1.0,2000,0.0001,none,484,4356,32767,3,0.9560723514211886,0.8762886597938144,deontic|dynamic|epistemic,7.333715915679932,
qp_modality_sae_layer14.parquet,palmer_expected,1.0,2000,0.0001,balanced,484,4356,32767,3,0.9509043927648578,0.8762886597938144,deontic|dynamic|epistemic,7.326546907424927,
qp_modality_sae_layer14.parquet,quirk_expected,1.0,1000,0.001,none,481,4359,32767,6,0.9609375,0.9072164948453608,ability|necessity|obligation|possibility|prediction|volition,2.6074764728546143,
qp_modality_sae_layer14.parquet,quirk_expected,1.0,1000,0.001,balanced,481,4359,32767,6,0.9713541666666666,0.9072164948453608,ability|necessity|obligation|possibility|prediction|volition,2.7871742248535156,
qp_modality_sae_layer14.parquet,quirk_expected,1.0,2000,0.0001,none,481,4359,32767,6,0.9635416666666666,0.8969072164948454,ability|necessity|obligation|possibility|prediction|volition,11.373944997787476,
qp_modality_sae_layer14.parquet,quirk_expected,1.0,2000,0.0001,balanced,481,4359,32767,6,0.96875,0.8969072164948454,ability|necessity|obligation|possibility|prediction|volition,11.495317697525024,
qp_modality_sae_layer14.parquet,palmer_quirk_pair,1.0,1000,0.001,none,478,4362,32767,8,0.9319371727748691,0.875,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,3.041949987411499,
