file,target,C,max_iter,tol,class_weight,n_samples_used,n_rows_dropped,n_features,n_classes,train_acc,test_acc,nnz_features,fit_sec,note
qp_tense_sae_layer11.parquet,aspect,0.25,5000,0.0001,none,1411,0,32767,2,0.9902482269503546,0.9964664310954063,6,0.9075026512145996,
qp_tense_sae_layer11.parquet,aspect,0.5,1000,0.0001,none,1411,0,32767,2,0.9902482269503546,0.9964664310954063,8,1.5791015625,
qp_tense_sae_layer11.parquet,aspect,0.5,2000,0.0001,none,1411,0,32767,2,0.9902482269503546,0.9964664310954063,8,1.602552890777588,
qp_tense_sae_layer11.parquet,aspect,0.5,3000,0.0001,none,1411,0,32767,2,0.9902482269503546,0.9964664310954063,8,1.5810508728027344,
qp_tense_sae_layer11.parquet,aspect,0.5,4000,0.0001,none,1411,0,32767,2,0.9902482269503546,0.9964664310954063,8,1.6243467330932617,
qp_tense_sae_layer11.parquet,aspect,0.5,5000,0.0001,none,1411,0,32767,2,0.9902482269503546,0.9964664310954063,8,1.6012811660766602,
qp_tense_sae_layer11.parquet,aspect,1.0,1000,0.0001,none,1411,0,32767,2,0.9955673758865248,1.0,9,2.1564650535583496,
qp_tense_sae_layer11.parquet,aspect,1.0,2000,0.0001,none,1411,0,32767,2,0.9955673758865248,1.0,9,2.1730427742004395,
qp_tense_sae_layer11.parquet,aspect,1.0,3000,0.0001,none,1411,0,32767,2,0.9955673758865248,1.0,9,2.2107362747192383,
qp_tense_sae_layer11.parquet,aspect,1.0,4000,0.0001,none,1411,0,32767,2,0.9955673758865248,1.0,9,2.1830663681030273,
qp_tense_sae_layer11.parquet,aspect,1.0,5000,0.0001,none,1411,0,32767,2,0.9955673758865248,1.0,9,2.232471466064453,
qp_tense_sae_layer12.parquet,tense,0.25,1000,0.0001,none,1411,0,32763,7,0.9893617021276596,0.9823321554770318,11,2.0070960521698,
qp_tense_sae_layer12.parquet,tense,0.25,2000,0.0001,none,1411,0,32763,7,0.9893617021276596,0.9823321554770318,11,1.9786477088928223,
qp_tense_sae_layer12.parquet,tense,0.25,3000,0.0001,none,1411,0,32763,7,0.9893617021276596,0.9823321554770318,11,1.9824981689453125,
qp_tense_sae_layer12.parquet,tense,0.25,4000,0.0001,none,1411,0,32763,7,0.9893617021276596,0.9823321554770318,11,1.984827995300293,
qp_tense_sae_layer12.parquet,tense,0.25,5000,0.0001,none,1411,0,32763,7,0.9893617021276596,0.9823321554770318,11,1.9792842864990234,
qp_tense_sae_layer12.parquet,tense,0.5,1000,0.0001,none,1411,0,32763,7,0.9929078014184397,0.9893992932862191,13,2.6483614444732666,
qp_tense_sae_layer12.parquet,tense,0.5,2000,0.0001,none,1411,0,32763,7,0.9929078014184397,0.9893992932862191,13,2.637352705001831,
qp_tense_sae_layer12.parquet,tense,0.5,3000,0.0001,none,1411,0,32763,7,0.9929078014184397,0.9893992932862191,13,2.6245176792144775,
qp_tense_sae_layer12.parquet,tense,0.5,4000,0.0001,none,1411,0,32763,7,0.9929078014184397,0.9893992932862191,13,2.6422905921936035,
qp_tense_sae_layer12.parquet,tense,0.5,5000,0.0001,none,1411,0,32763,7,0.9929078014184397,0.9893992932862191,13,2.6358697414398193,
