file,target,C,max_iter,tol,class_weight,n_samples_used,n_rows_dropped,n_features,n_classes,train_acc,test_acc,nnz_features,fit_sec,note
qp_TEA_sae_layer13.parquet,entailment,0.25,2000,0.0001,none,11138,0,32768,2,0.827384960718294,0.8213644524236984,104,10.939089298248291,
qp_TEA_sae_layer13.parquet,entailment,0.25,3000,0.0001,none,11138,0,32768,2,0.827384960718294,0.8213644524236984,104,10.92201852798462,
qp_TEA_sae_layer13.parquet,entailment,0.25,4000,0.0001,none,11138,0,32768,2,0.827384960718294,0.8213644524236984,104,10.923511266708374,
qp_TEA_sae_layer13.parquet,entailment,0.25,5000,0.0001,none,11138,0,32768,2,0.8274971941638608,0.8213644524236984,104,10.869858026504517,
qp_TEA_sae_layer13.parquet,entailment,0.5,1000,0.0001,none,11138,0,32768,2,0.8514029180695848,0.829443447037702,198,22.61404323577881,
qp_TEA_sae_layer13.parquet,entailment,0.5,2000,0.0001,none,11138,0,32768,2,0.8514029180695848,0.829443447037702,198,22.701334714889526,
qp_TEA_sae_layer13.parquet,entailment,0.5,3000,0.0001,none,11138,0,32768,2,0.8514029180695848,0.829443447037702,198,22.597813844680786,
qp_TEA_sae_layer13.parquet,entailment,0.5,4000,0.0001,none,11138,0,32768,2,0.8514029180695848,0.829443447037702,198,22.623005151748657,
qp_TEA_sae_layer13.parquet,entailment,0.5,5000,0.0001,none,11138,0,32768,2,0.8514029180695848,0.829443447037702,198,22.72509217262268,
qp_TEA_sae_layer13.parquet,entailment,1.0,1000,0.0001,none,11138,0,32768,2,0.8740740740740741,0.8456014362657092,345,51.902766942977905,
qp_TEA_sae_layer13.parquet,entailment,1.0,2000,0.0001,none,11138,0,32768,2,0.8740740740740741,0.8456014362657092,345,51.642613887786865,
qp_TEA_sae_layer13.parquet,entailment,1.0,3000,0.0001,none,11138,0,32768,2,0.8740740740740741,0.8456014362657092,345,51.57106399536133,
qp_TEA_sae_layer13.parquet,entailment,1.0,4000,0.0001,none,11138,0,32768,2,0.8740740740740741,0.8456014362657092,345,51.746331453323364,
qp_TEA_sae_layer13.parquet,entailment,1.0,5000,0.0001,none,11138,0,32768,2,0.8740740740740741,0.8456014362657092,346,51.76532173156738,
qp_TEA_sae_layer14.parquet,entailment,0.25,1000,0.0001,none,11138,0,32767,2,0.8231200897867564,0.8123877917414721,103,12.069340467453003,
qp_TEA_sae_layer14.parquet,entailment,0.25,2000,0.0001,none,11138,0,32767,2,0.8228956228956229,0.8123877917414721,103,12.069137573242188,
qp_TEA_sae_layer14.parquet,entailment,0.25,3000,0.0001,none,11138,0,32767,2,0.8228956228956229,0.8123877917414721,103,12.046010732650757,
qp_TEA_sae_layer14.parquet,entailment,0.25,4000,0.0001,none,11138,0,32767,2,0.8231200897867564,0.8123877917414721,103,12.17062258720398,
qp_TEA_sae_layer14.parquet,entailment,0.25,5000,0.0001,none,11138,0,32767,2,0.8228956228956229,0.8123877917414721,103,12.027461051940918,
qp_TEA_sae_layer14.parquet,entailment,0.5,1000,0.0001,none,11138,0,32767,2,0.8480359147025813,0.8303411131059246,200,25.943588256835938,
qp_TEA_sae_layer14.parquet,entailment,0.5,2000,0.0001,none,11138,0,32767,2,0.8480359147025813,0.8303411131059246,200,25.919368028640747,
qp_TEA_sae_layer14.parquet,entailment,0.5,3000,0.0001,none,11138,0,32767,2,0.8480359147025813,0.8303411131059246,200,26.049288034439087,
qp_TEA_sae_layer14.parquet,entailment,0.5,4000,0.0001,none,11138,0,32767,2,0.8480359147025813,0.8303411131059246,198,25.878008604049683,
qp_TEA_sae_layer14.parquet,entailment,0.5,5000,0.0001,none,11138,0,32767,2,0.8480359147025813,0.8303411131059246,198,25.978113889694214,
qp_TEA_sae_layer14.parquet,entailment,1.0,1000,0.0001,none,11138,0,32767,2,0.8722783389450056,0.8478456014362658,331,53.01668953895569,
qp_TEA_sae_layer14.parquet,entailment,1.0,2000,0.0001,none,11138,0,32767,2,0.8722783389450056,0.8478456014362658,331,52.914164304733276,
qp_TEA_sae_layer14.parquet,entailment,1.0,3000,0.0001,none,11138,0,32767,2,0.8722783389450056,0.8478456014362658,331,52.780606269836426,
qp_TEA_sae_layer14.parquet,entailment,1.0,4000,0.0001,none,11138,0,32767,2,0.8722783389450056,0.8478456014362658,331,52.6837522983551,
qp_TEA_sae_layer14.parquet,entailment,1.0,5000,0.0001,none,11138,0,32767,2,0.8722783389450056,0.8478456014362658,331,53.005319356918335,
qp_TEA_sae_layer15.parquet,entailment,0.25,1000,0.0001,none,11138,0,32768,2,0.8287317620650954,0.8231597845601436,116,11.45414924621582,
qp_TEA_sae_layer15.parquet,entailment,0.25,2000,0.0001,none,11138,0,32768,2,0.8287317620650954,0.8231597845601436,117,11.630760192871094,
qp_TEA_sae_layer15.parquet,entailment,0.25,3000,0.0001,none,11138,0,32768,2,0.8287317620650954,0.8231597845601436,117,11.651201963424683,
qp_TEA_sae_layer15.parquet,entailment,0.25,4000,0.0001,none,11138,0,32768,2,0.8287317620650954,0.8231597845601436,117,11.630348443984985,
qp_TEA_sae_layer15.parquet,entailment,0.25,5000,0.0001,none,11138,0,32768,2,0.8287317620650954,0.8231597845601436,115,11.480772495269775,
qp_TEA_sae_layer15.parquet,entailment,0.5,1000,0.0001,none,11138,0,32768,2,0.8508417508417508,0.8393177737881508,192,22.057953119277954,
qp_TEA_sae_layer15.parquet,entailment,0.5,2000,0.0001,none,11138,0,32768,2,0.8508417508417508,0.8393177737881508,192,22.012685537338257,
qp_TEA_sae_layer15.parquet,entailment,0.5,3000,0.0001,none,11138,0,32768,2,0.8508417508417508,0.8393177737881508,192,22.056313276290894,
qp_TEA_sae_layer15.parquet,entailment,0.5,4000,0.0001,none,11138,0,32768,2,0.8508417508417508,0.8393177737881508,192,22.15397071838379,
qp_TEA_sae_layer15.parquet,entailment,0.5,5000,0.0001,none,11138,0,32768,2,0.8508417508417508,0.8393177737881508,192,22.135719537734985,
qp_TEA_sae_layer15.parquet,entailment,1.0,1000,0.0001,none,11138,0,32768,2,0.880695847362514,0.8500897666068222,336,47.75733137130737,
qp_TEA_sae_layer15.parquet,entailment,1.0,2000,0.0001,none,11138,0,32768,2,0.880695847362514,0.8500897666068222,335,47.680198669433594,
qp_TEA_sae_layer15.parquet,entailment,1.0,3000,0.0001,none,11138,0,32768,2,0.880695847362514,0.8500897666068222,335,47.58369708061218,
qp_TEA_sae_layer15.parquet,entailment,1.0,4000,0.0001,none,11138,0,32768,2,0.8805836139169473,0.8500897666068222,335,47.978172063827515,
qp_TEA_sae_layer15.parquet,entailment,1.0,5000,0.0001,none,11138,0,32768,2,0.8805836139169473,0.8500897666068222,335,48.078920125961304,
qp_TEA_sae_layer16.parquet,entailment,0.25,1000,0.0001,none,11138,0,32767,2,0.826374859708193,0.8209156193895871,121,8.728886842727661,
qp_TEA_sae_layer16.parquet,entailment,0.25,2000,0.0001,none,11138,0,32767,2,0.826374859708193,0.8209156193895871,121,8.700693368911743,
qp_TEA_sae_layer16.parquet,entailment,0.25,3000,0.0001,none,11138,0,32767,2,0.826374859708193,0.8209156193895871,121,8.740467548370361,
qp_TEA_sae_layer16.parquet,entailment,0.25,4000,0.0001,none,11138,0,32767,2,0.826374859708193,0.8209156193895871,121,8.740182161331177,
qp_TEA_sae_layer16.parquet,entailment,0.25,5000,0.0001,none,11138,0,32767,2,0.826374859708193,0.8209156193895871,121,8.641624212265015,
qp_TEA_sae_layer16.parquet,entailment,0.5,1000,0.0001,none,11138,0,32767,2,0.8530864197530864,0.8370736086175943,213,18.082531213760376,
qp_TEA_sae_layer16.parquet,entailment,0.5,2000,0.0001,none,11138,0,32767,2,0.8530864197530864,0.8370736086175943,213,17.959224462509155,
qp_TEA_sae_layer16.parquet,entailment,0.5,3000,0.0001,none,11138,0,32767,2,0.8530864197530864,0.8370736086175943,213,18.02160406112671,
qp_TEA_sae_layer16.parquet,entailment,0.5,4000,0.0001,none,11138,0,32767,2,0.8531986531986532,0.8370736086175943,212,18.02078151702881,
qp_TEA_sae_layer16.parquet,entailment,0.5,5000,0.0001,none,11138,0,32767,2,0.8530864197530864,0.8370736086175943,213,18.05508041381836,
qp_TEA_sae_layer16.parquet,entailment,1.0,1000,0.0001,none,11138,0,32767,2,0.8789001122334456,0.8456014362657092,341,37.576460123062134,
qp_TEA_sae_layer16.parquet,entailment,1.0,2000,0.0001,none,11138,0,32767,2,0.8789001122334456,0.8456014362657092,341,37.71653461456299,
qp_TEA_sae_layer16.parquet,entailment,1.0,3000,0.0001,none,11138,0,32767,2,0.8789001122334456,0.8456014362657092,341,37.668678998947144,
qp_TEA_sae_layer16.parquet,entailment,1.0,4000,0.0001,none,11138,0,32767,2,0.8789001122334456,0.8456014362657092,341,37.924641132354736,
qp_TEA_sae_layer16.parquet,entailment,1.0,5000,0.0001,none,11138,0,32767,2,0.8789001122334456,0.8456014362657092,342,37.69584393501282,
qp_TEA_sae_layer17.parquet,entailment,0.25,1000,0.0001,none,11138,0,32765,2,0.8244668911335578,0.8245062836624776,109,14.718074798583984,
qp_TEA_sae_layer17.parquet,entailment,0.25,2000,0.0001,none,11138,0,32765,2,0.8244668911335578,0.8245062836624776,109,14.746312141418457,
qp_TEA_sae_layer17.parquet,entailment,0.25,3000,0.0001,none,11138,0,32765,2,0.8244668911335578,0.8245062836624776,109,14.686718702316284,
qp_TEA_sae_layer17.parquet,entailment,0.25,4000,0.0001,none,11138,0,32765,2,0.8244668911335578,0.8245062836624776,109,14.722028493881226,
qp_TEA_sae_layer17.parquet,entailment,0.25,5000,0.0001,none,11138,0,32765,2,0.8244668911335578,0.8245062836624776,109,14.785206079483032,
qp_TEA_sae_layer17.parquet,entailment,0.5,1000,0.0001,none,11138,0,32765,2,0.8527497194163861,0.8402154398563735,191,23.08588671684265,
qp_TEA_sae_layer17.parquet,entailment,0.5,2000,0.0001,none,11138,0,32765,2,0.8527497194163861,0.8402154398563735,191,23.412372827529907,
qp_TEA_sae_layer17.parquet,entailment,0.5,3000,0.0001,none,11138,0,32765,2,0.8527497194163861,0.8402154398563735,191,23.2844877243042,
qp_TEA_sae_layer17.parquet,entailment,0.5,4000,0.0001,none,11138,0,32765,2,0.8528619528619529,0.8402154398563735,191,22.921710968017578,
qp_TEA_sae_layer17.parquet,entailment,0.5,5000,0.0001,none,11138,0,32765,2,0.8527497194163861,0.8402154398563735,191,23.138355493545532,
qp_TEA_sae_layer17.parquet,entailment,1.0,1000,0.0001,none,11138,0,32765,2,0.8799102132435466,0.854129263913824,344,39.36721158027649,
qp_TEA_sae_layer17.parquet,entailment,1.0,2000,0.0001,none,11138,0,32765,2,0.8799102132435466,0.854129263913824,342,38.95962691307068,
qp_TEA_sae_layer17.parquet,entailment,1.0,3000,0.0001,none,11138,0,32765,2,0.8799102132435466,0.854129263913824,342,38.950849294662476,
qp_TEA_sae_layer17.parquet,entailment,1.0,4000,0.0001,none,11138,0,32765,2,0.8799102132435466,0.854129263913824,345,38.083070039749146,
qp_TEA_sae_layer17.parquet,entailment,1.0,5000,0.0001,none,11138,0,32765,2,0.8799102132435466,0.854129263913824,344,37.94854712486267,
qp_TEA_sae_layer18.parquet,entailment,0.25,1000,0.0001,none,11138,0,32767,2,0.8228956228956229,0.8110412926391383,101,7.066866397857666,
qp_TEA_sae_layer18.parquet,entailment,0.25,2000,0.0001,none,11138,0,32767,2,0.8228956228956229,0.8110412926391383,101,7.087569713592529,
qp_TEA_sae_layer18.parquet,entailment,0.25,3000,0.0001,none,11138,0,32767,2,0.8228956228956229,0.8110412926391383,101,7.045623779296875,
qp_TEA_sae_layer18.parquet,entailment,0.25,4000,0.0001,none,11138,0,32767,2,0.8228956228956229,0.8110412926391383,101,7.006853342056274,
qp_TEA_sae_layer18.parquet,entailment,0.25,5000,0.0001,none,11138,0,32767,2,0.8227833894500561,0.8105924596050269,100,7.04767107963562,
qp_TEA_sae_layer18.parquet,entailment,0.5,1000,0.0001,none,11138,0,32767,2,0.8453423120089787,0.8267504488330341,198,18.845744848251343,
qp_TEA_sae_layer18.parquet,entailment,0.5,2000,0.0001,none,11138,0,32767,2,0.8453423120089787,0.8267504488330341,198,18.898534774780273,
qp_TEA_sae_layer18.parquet,entailment,0.5,3000,0.0001,none,11138,0,32767,2,0.8453423120089787,0.8267504488330341,198,18.779102087020874,
qp_TEA_sae_layer18.parquet,entailment,0.5,4000,0.0001,none,11138,0,32767,2,0.8454545454545455,0.8267504488330341,200,18.755039930343628,
qp_TEA_sae_layer18.parquet,entailment,0.5,5000,0.0001,none,11138,0,32767,2,0.8453423120089787,0.8267504488330341,198,18.785470485687256,
qp_TEA_sae_layer18.parquet,entailment,1.0,1000,0.0001,none,11138,0,32767,2,0.8736251402918069,0.8411131059245961,345,56.640238523483276,
qp_TEA_sae_layer18.parquet,entailment,1.0,2000,0.0001,none,11138,0,32767,2,0.8736251402918069,0.8411131059245961,348,56.595797300338745,
qp_TEA_sae_layer18.parquet,entailment,1.0,3000,0.0001,none,11138,0,32767,2,0.8736251402918069,0.8411131059245961,345,56.76330351829529,
qp_TEA_sae_layer18.parquet,entailment,1.0,4000,0.0001,none,11138,0,32767,2,0.8736251402918069,0.8411131059245961,345,56.509700775146484,
qp_TEA_sae_layer18.parquet,entailment,1.0,5000,0.0001,none,11138,0,32767,2,0.8736251402918069,0.8411131059245961,345,56.66291785240173,
qp_TEA_sae_layer19.parquet,entailment,0.25,1000,0.0001,none,11138,0,32764,2,0.8228956228956229,0.8168761220825853,118,7.798644542694092,
qp_TEA_sae_layer19.parquet,entailment,0.25,2000,0.0001,none,11138,0,32764,2,0.8228956228956229,0.8168761220825853,118,7.7563254833221436,
qp_TEA_sae_layer19.parquet,entailment,0.25,3000,0.0001,none,11138,0,32764,2,0.8228956228956229,0.816427289048474,118,7.913758993148804,
qp_TEA_sae_layer19.parquet,entailment,0.25,4000,0.0001,none,11138,0,32764,2,0.8228956228956229,0.816427289048474,118,7.8822691440582275,
qp_TEA_sae_layer19.parquet,entailment,0.25,5000,0.0001,none,11138,0,32764,2,0.8228956228956229,0.8168761220825853,118,7.776867866516113,
qp_TEA_sae_layer19.parquet,entailment,0.5,1000,0.0001,none,11138,0,32764,2,0.8508417508417508,0.8357271095152603,194,13.574083089828491,
qp_TEA_sae_layer19.parquet,entailment,0.5,2000,0.0001,none,11138,0,32764,2,0.8508417508417508,0.8357271095152603,194,13.535298824310303,
qp_TEA_sae_layer19.parquet,entailment,0.5,3000,0.0001,none,11138,0,32764,2,0.8508417508417508,0.8357271095152603,193,13.455005407333374,
qp_TEA_sae_layer19.parquet,entailment,0.5,4000,0.0001,none,11138,0,32764,2,0.8508417508417508,0.8357271095152603,193,13.517385005950928,
qp_TEA_sae_layer19.parquet,entailment,0.5,5000,0.0001,none,11138,0,32764,2,0.8508417508417508,0.8357271095152603,194,13.503950595855713,
qp_TEA_sae_layer19.parquet,entailment,1.0,1000,0.0001,none,11138,0,32764,2,0.8764309764309764,0.8500897666068222,338,41.18783450126648,
qp_TEA_sae_layer19.parquet,entailment,1.0,2000,0.0001,none,11138,0,32764,2,0.8764309764309764,0.8500897666068222,338,41.168039321899414,
qp_TEA_sae_layer19.parquet,entailment,1.0,3000,0.0001,none,11138,0,32764,2,0.8764309764309764,0.8500897666068222,338,41.15440821647644,
qp_TEA_sae_layer19.parquet,entailment,1.0,4000,0.0001,none,11138,0,32764,2,0.8764309764309764,0.8500897666068222,338,41.57458162307739,
qp_TEA_sae_layer19.parquet,entailment,1.0,5000,0.0001,none,11138,0,32764,2,0.8764309764309764,0.8500897666068222,338,41.17218279838562,
qp_TEA_sae_layer2.parquet,entailment,0.25,1000,0.0001,none,11138,0,32767,2,0.7960718294051627,0.7939856373429084,69,35.22821831703186,
qp_TEA_sae_layer2.parquet,entailment,0.25,2000,0.0001,none,11138,0,32767,2,0.795959595959596,0.7939856373429084,69,35.12590837478638,
qp_TEA_sae_layer2.parquet,entailment,0.25,3000,0.0001,none,11138,0,32767,2,0.795959595959596,0.7939856373429084,69,35.12274622917175,
